job,ran_at,duration_s,rows,errors
daily_revenue,2026-03-08T04:39:12.072816+00:00,0.02,0,1
category_revenue,2026-03-08T04:39:12.074179+00:00,0.001,0,1
user_ltv,2026-03-08T04:39:12.074666+00:00,0.0,0,1
daily_revenue,2026-03-08T04:49:31.815977+00:00,0.018,0,1
category_revenue,2026-03-08T04:49:33.182341+00:00,1.366,1,0
user_ltv,2026-03-08T04:49:35.046475+00:00,1.863,0,1
daily_revenue,2026-03-08T04:56:33.741959+00:00,1.602,0,1
category_revenue,2026-03-08T04:56:34.915585+00:00,1.171,1,0
analytics_user_ltv,2026-03-08T04:56:36.588069+00:00,1.672,1,0
daily_revenue,2026-03-08T04:59:49.170488+00:00,2.512,1,0
category_revenue,2026-03-08T04:59:50.441877+00:00,1.27,1,0
analytics_user_ltv,2026-03-08T04:59:52.045270+00:00,1.603,1,0
daily_revenue,2026-03-08T07:42:51.282509+00:00,2.163,1,0
category_revenue,2026-03-08T07:42:52.472246+00:00,1.189,1,0
analytics_user_ltv,2026-03-08T07:42:54.194843+00:00,1.722,1,0
daily_revenue,2026-03-08T07:53:49.152060+00:00,2.292,1,0
category_revenue,2026-03-08T07:53:50.588690+00:00,1.436,1,0
analytics_user_ltv,2026-03-08T07:53:52.220459+00:00,1.631,1,0
daily_revenue,2026-03-09T03:45:34.469684+00:00,5.549,1,0
category_revenue,2026-03-09T03:45:36.969674+00:00,2.499,1,0
analytics_user_ltv,2026-03-09T03:45:40.657839+00:00,3.687,1,0
daily_revenue,2026-03-09T03:47:31.697355+00:00,3.114,1,0
category_revenue,2026-03-09T03:47:34.202297+00:00,2.504,1,0
analytics_user_ltv,2026-03-09T03:47:37.783773+00:00,3.581,1,0
daily_revenue,2026-03-09T03:49:31.832753+00:00,3.22,1,0
category_revenue,2026-03-09T03:49:34.339947+00:00,2.506,1,0
analytics_user_ltv,2026-03-09T03:49:38.041771+00:00,3.701,1,0
daily_revenue,2026-03-09T03:51:31.741561+00:00,3.135,1,0
category_revenue,2026-03-09T03:51:34.235374+00:00,2.493,1,0
analytics_user_ltv,2026-03-09T03:51:37.923726+00:00,3.688,1,0
daily_revenue,2026-03-09T03:53:31.711182+00:00,3.151,1,0
category_revenue,2026-03-09T03:53:34.336741+00:00,2.625,1,0
analytics_user_ltv,2026-03-09T03:53:38.243295+00:00,3.906,1,0
daily_revenue,2026-03-09T03:55:31.625447+00:00,3.043,1,0
category_revenue,2026-03-09T03:55:34.143332+00:00,2.517,1,0
analytics_user_ltv,2026-03-09T03:55:37.974217+00:00,3.83,1,0
daily_revenue,2026-03-09T03:57:31.845448+00:00,3.225,1,0
category_revenue,2026-03-09T03:57:34.357980+00:00,2.512,1,0
analytics_user_ltv,2026-03-09T03:57:38.275183+00:00,3.916,1,0
daily_revenue,2026-03-09T03:59:31.885500+00:00,3.308,1,0
category_revenue,2026-03-09T03:59:34.352754+00:00,2.467,1,0
analytics_user_ltv,2026-03-09T03:59:38.574943+00:00,4.222,1,0
daily_revenue,2026-03-09T04:01:31.754579+00:00,3.108,1,0
category_revenue,2026-03-09T04:01:34.295692+00:00,2.54,1,0
analytics_user_ltv,2026-03-09T04:01:37.938800+00:00,3.642,1,0
daily_revenue,2026-03-09T04:03:31.626703+00:00,3.062,1,0
category_revenue,2026-03-09T04:03:34.134348+00:00,2.507,1,0
analytics_user_ltv,2026-03-09T04:03:38.154220+00:00,4.019,1,0
daily_revenue,2026-03-09T04:05:31.620518+00:00,3.015,1,0
category_revenue,2026-03-09T04:05:34.101199+00:00,2.48,1,0
analytics_user_ltv,2026-03-09T04:05:38.513156+00:00,4.412,1,0
daily_revenue,2026-03-09T04:07:32.019704+00:00,3.373,1,0
category_revenue,2026-03-09T04:07:34.506162+00:00,2.485,1,0
analytics_user_ltv,2026-03-09T04:07:38.146225+00:00,3.64,1,0
daily_revenue,2026-03-09T04:09:31.650759+00:00,3.05,1,0
category_revenue,2026-03-09T04:09:34.179330+00:00,2.528,1,0
analytics_user_ltv,2026-03-09T04:09:37.859396+00:00,3.679,1,0
daily_revenue,2026-03-09T04:11:31.811217+00:00,3.253,1,0
category_revenue,2026-03-09T04:11:34.412559+00:00,2.6,1,0
analytics_user_ltv,2026-03-09T04:11:38.440763+00:00,4.027,1,0
daily_revenue,2026-03-09T04:13:31.656463+00:00,3.064,1,0
category_revenue,2026-03-09T04:13:34.146340+00:00,2.489,1,0
analytics_user_ltv,2026-03-09T04:13:37.653004+00:00,3.506,1,0
daily_revenue,2026-03-09T04:15:31.707090+00:00,3.159,1,0
category_revenue,2026-03-09T04:15:34.220414+00:00,2.513,1,0
analytics_user_ltv,2026-03-09T04:15:37.804047+00:00,3.583,1,0
daily_revenue,2026-03-09T04:17:31.658480+00:00,3.04,1,0
category_revenue,2026-03-09T04:17:34.149109+00:00,2.49,1,0
analytics_user_ltv,2026-03-09T04:17:37.821478+00:00,3.671,1,0
daily_revenue,2026-03-09T04:19:31.608990+00:00,3.03,1,0
category_revenue,2026-03-09T04:19:34.097822+00:00,2.488,1,0
analytics_user_ltv,2026-03-09T04:19:37.643186+00:00,3.545,1,0
daily_revenue,2026-03-09T04:21:31.789603+00:00,3.226,1,0
category_revenue,2026-03-09T04:21:34.288961+00:00,2.497,1,0
analytics_user_ltv,2026-03-09T04:21:39.084426+00:00,4.795,1,0
daily_revenue,2026-03-09T04:23:31.633282+00:00,3.047,1,0
category_revenue,2026-03-09T04:23:34.122481+00:00,2.488,1,0
analytics_user_ltv,2026-03-09T04:23:37.639206+00:00,3.516,1,0
daily_revenue,2026-03-09T04:25:31.637674+00:00,3.069,1,0
category_revenue,2026-03-09T04:25:34.148376+00:00,2.51,1,0
analytics_user_ltv,2026-03-09T04:25:37.711408+00:00,3.562,1,0
daily_revenue,2026-03-09T04:27:31.897495+00:00,3.244,1,0
category_revenue,2026-03-09T04:27:34.420659+00:00,2.522,1,0
analytics_user_ltv,2026-03-09T04:27:38.092575+00:00,3.671,1,0
daily_revenue,2026-03-09T04:29:31.699200+00:00,3.081,1,0
category_revenue,2026-03-09T04:29:34.247025+00:00,2.547,1,0
analytics_user_ltv,2026-03-09T04:29:37.969481+00:00,3.722,1,0
daily_revenue,2026-03-09T04:31:31.792587+00:00,3.224,1,0
category_revenue,2026-03-09T04:31:34.312216+00:00,2.519,1,0
analytics_user_ltv,2026-03-09T04:31:38.199668+00:00,3.887,1,0
daily_revenue,2026-03-09T04:33:31.642886+00:00,3.076,1,0
category_revenue,2026-03-09T04:33:34.148024+00:00,2.504,1,0
analytics_user_ltv,2026-03-09T04:33:37.912176+00:00,3.764,1,0
daily_revenue,2026-03-09T04:35:31.666863+00:00,3.077,1,0
category_revenue,2026-03-09T04:35:34.171913+00:00,2.504,1,0
analytics_user_ltv,2026-03-09T04:35:37.789084+00:00,3.617,1,0
daily_revenue,2026-03-09T04:37:31.842301+00:00,3.165,1,0
category_revenue,2026-03-09T04:37:34.352541+00:00,2.51,1,0
analytics_user_ltv,2026-03-09T04:37:37.941987+00:00,3.589,1,0
daily_revenue,2026-03-09T04:39:31.600272+00:00,3.031,1,0
category_revenue,2026-03-09T04:39:34.093557+00:00,2.493,1,0
analytics_user_ltv,2026-03-09T04:39:37.768336+00:00,3.674,1,0
daily_revenue,2026-03-09T04:41:31.803005+00:00,3.247,1,0
category_revenue,2026-03-09T04:41:34.394821+00:00,2.591,1,0
analytics_user_ltv,2026-03-09T04:41:38.757113+00:00,4.362,1,0
daily_revenue,2026-03-09T04:43:31.668580+00:00,3.092,1,0
category_revenue,2026-03-09T04:43:34.142016+00:00,2.472,1,0
analytics_user_ltv,2026-03-09T04:43:37.971847+00:00,3.829,1,0
daily_revenue,2026-03-09T04:45:31.628302+00:00,3.045,1,0
category_revenue,2026-03-09T04:45:34.231397+00:00,2.602,1,0
analytics_user_ltv,2026-03-09T04:45:37.960606+00:00,3.729,1,0
daily_revenue,2026-03-09T04:47:31.855010+00:00,3.238,1,0
category_revenue,2026-03-09T04:47:34.478605+00:00,2.621,1,0
analytics_user_ltv,2026-03-09T04:47:38.726547+00:00,4.247,1,0
daily_revenue,2026-03-09T04:49:31.669800+00:00,3.047,1,0
category_revenue,2026-03-09T04:49:34.185221+00:00,2.515,1,0
analytics_user_ltv,2026-03-09T04:49:37.690258+00:00,3.504,1,0
daily_revenue,2026-03-09T04:51:31.673624+00:00,3.109,1,0
category_revenue,2026-03-09T04:51:34.320394+00:00,2.646,1,0
analytics_user_ltv,2026-03-09T04:51:38.218395+00:00,3.897,1,0
daily_revenue,2026-03-09T04:53:31.662279+00:00,3.076,1,0
category_revenue,2026-03-09T04:53:34.287881+00:00,2.625,1,0
analytics_user_ltv,2026-03-09T04:53:37.963623+00:00,3.675,1,0
daily_revenue,2026-03-09T04:55:31.786148+00:00,3.217,1,0
category_revenue,2026-03-09T04:55:34.317016+00:00,2.529,1,0
analytics_user_ltv,2026-03-09T04:55:38.460227+00:00,4.143,1,0
daily_revenue,2026-03-09T04:57:31.766838+00:00,3.134,1,0
category_revenue,2026-03-09T04:57:34.540696+00:00,2.773,1,0
analytics_user_ltv,2026-03-09T04:57:38.616981+00:00,4.075,1,0
daily_revenue,2026-03-09T04:59:31.763521+00:00,3.159,1,0
category_revenue,2026-03-09T04:59:34.283324+00:00,2.517,1,0
analytics_user_ltv,2026-03-09T04:59:37.924638+00:00,3.64,1,0
daily_revenue,2026-03-09T05:01:31.723122+00:00,3.132,1,0
category_revenue,2026-03-09T05:01:34.189793+00:00,2.466,1,0
analytics_user_ltv,2026-03-09T05:01:38.020784+00:00,3.83,1,0
daily_revenue,2026-03-09T05:03:31.612709+00:00,3.051,1,0
category_revenue,2026-03-09T05:03:34.254231+00:00,2.641,1,0
analytics_user_ltv,2026-03-09T05:03:38.103689+00:00,3.849,1,0
daily_revenue,2026-03-09T05:05:31.824086+00:00,3.252,1,0
category_revenue,2026-03-09T05:05:34.344998+00:00,2.52,1,0
analytics_user_ltv,2026-03-09T05:05:38.564332+00:00,4.219,1,0
daily_revenue,2026-03-09T05:07:31.934445+00:00,3.279,1,0
category_revenue,2026-03-09T05:07:34.643119+00:00,2.708,1,0
analytics_user_ltv,2026-03-09T05:07:38.513121+00:00,3.869,1,0
daily_revenue,2026-03-09T05:09:31.880974+00:00,3.297,1,0
category_revenue,2026-03-09T05:09:34.628767+00:00,2.747,1,0
analytics_user_ltv,2026-03-09T05:09:38.127165+00:00,3.498,1,0
daily_revenue,2026-03-09T05:11:31.711214+00:00,3.152,1,0
category_revenue,2026-03-09T05:11:34.216651+00:00,2.505,1,0
analytics_user_ltv,2026-03-09T05:11:38.279053+00:00,4.062,1,0
daily_revenue,2026-03-09T05:13:31.683368+00:00,3.097,1,0
category_revenue,2026-03-09T05:13:34.188400+00:00,2.504,1,0
analytics_user_ltv,2026-03-09T05:13:37.712473+00:00,3.523,1,0
daily_revenue,2026-03-09T05:15:31.783104+00:00,3.241,1,0
category_revenue,2026-03-09T05:15:34.398309+00:00,2.614,1,0
analytics_user_ltv,2026-03-09T05:15:38.187661+00:00,3.788,1,0
daily_revenue,2026-03-09T05:17:31.892950+00:00,3.252,1,0
category_revenue,2026-03-09T05:17:34.545857+00:00,2.652,1,0
analytics_user_ltv,2026-03-09T05:17:38.373529+00:00,3.827,1,0
daily_revenue,2026-03-09T05:19:31.841461+00:00,3.222,1,0
category_revenue,2026-03-09T05:19:34.492156+00:00,2.648,1,0
analytics_user_ltv,2026-03-09T05:19:38.083946+00:00,3.591,1,0
daily_revenue,2026-03-09T05:21:31.693067+00:00,3.088,1,0
category_revenue,2026-03-09T05:21:34.203681+00:00,2.51,1,0
analytics_user_ltv,2026-03-09T05:21:37.910401+00:00,3.706,1,0
daily_revenue,2026-03-09T05:23:31.787834+00:00,3.215,1,0
category_revenue,2026-03-09T05:23:34.335680+00:00,2.548,1,0
analytics_user_ltv,2026-03-09T05:23:38.104761+00:00,3.769,1,0
daily_revenue,2026-03-09T05:25:31.843745+00:00,3.254,1,0
category_revenue,2026-03-09T05:25:34.538976+00:00,2.695,1,0
analytics_user_ltv,2026-03-09T05:25:38.235934+00:00,3.697,1,0
daily_revenue,2026-03-09T05:27:31.818640+00:00,3.207,1,0
category_revenue,2026-03-09T05:27:34.415178+00:00,2.594,1,0
analytics_user_ltv,2026-03-09T05:27:38.930461+00:00,4.515,1,0
daily_revenue,2026-03-09T05:29:32.046477+00:00,3.442,1,0
category_revenue,2026-03-09T05:29:34.586182+00:00,2.537,1,0
analytics_user_ltv,2026-03-09T05:29:38.728307+00:00,4.142,1,0
daily_revenue,2026-03-09T06:03:31.638496+00:00,3.054,1,0
category_revenue,2026-03-09T06:03:34.112842+00:00,2.473,1,0
analytics_user_ltv,2026-03-09T06:03:37.628189+00:00,3.515,1,0
daily_revenue,2026-03-09T06:51:31.598407+00:00,2.996,1,0
category_revenue,2026-03-09T06:51:33.968717+00:00,2.368,1,0
analytics_user_ltv,2026-03-09T06:51:37.438358+00:00,3.469,1,0
daily_revenue,2026-03-09T07:24:21.740299+00:00,3.011,1,0
category_revenue,2026-03-09T07:24:24.136559+00:00,2.395,1,0
analytics_user_ltv,2026-03-09T07:24:27.646826+00:00,3.51,1,0
daily_revenue,2026-03-09T07:25:31.553910+00:00,2.949,1,0
category_revenue,2026-03-09T07:25:33.967575+00:00,2.413,1,0
analytics_user_ltv,2026-03-09T07:25:37.319154+00:00,3.351,1,0
daily_revenue,2026-03-09T07:33:39.204990+00:00,3.078,1,0
category_revenue,2026-03-09T07:33:41.812249+00:00,2.607,1,0
analytics_user_ltv,2026-03-09T07:33:45.358999+00:00,3.546,1,0
daily_revenue,2026-03-09T08:23:32.482467+00:00,3.837,1,0
category_revenue,2026-03-09T08:32:53.298853+00:00,2.894,1,0
analytics_user_ltv,2026-03-09T08:32:56.931019+00:00,3.631,1,0
daily_revenue,2026-03-09T08:41:48.208063+00:00,3.6,1,0
category_revenue,2026-03-09T08:41:50.893416+00:00,2.683,1,0
analytics_user_ltv,2026-03-09T08:41:54.760069+00:00,3.866,1,0
daily_revenue,2026-03-09T08:43:31.950868+00:00,3.329,1,0
