job,ran_at,duration_s,rows,errors
category_revenue,2026-03-09T08:43:34.428662+00:00,2.477,1,0
analytics_user_ltv,2026-03-09T08:43:38.002008+00:00,3.573,1,0
daily_revenue,2026-03-09T08:45:31.924582+00:00,3.263,1,0
category_revenue,2026-03-09T08:45:34.439863+00:00,2.513,1,0
analytics_user_ltv,2026-03-09T08:45:38.135569+00:00,3.695,1,0
daily_revenue,2026-03-09T08:47:31.625686+00:00,3.031,1,0
category_revenue,2026-03-09T08:47:34.200684+00:00,2.574,1,0
analytics_user_ltv,2026-03-09T08:47:37.667223+00:00,3.466,1,0
daily_revenue,2026-03-09T08:49:31.634416+00:00,3.103,1,0
category_revenue,2026-03-09T08:49:34.128613+00:00,2.493,1,0
analytics_user_ltv,2026-03-09T08:49:37.626527+00:00,3.497,1,0
daily_revenue,2026-03-09T08:51:32.069606+00:00,3.401,1,0
category_revenue,2026-03-09T08:51:34.623881+00:00,2.553,1,0
analytics_user_ltv,2026-03-09T08:51:38.239774+00:00,3.615,1,0
daily_revenue,2026-03-09T08:53:31.623752+00:00,3.013,1,0
category_revenue,2026-03-09T08:53:34.239159+00:00,2.615,1,0
analytics_user_ltv,2026-03-09T08:53:37.751168+00:00,3.511,1,0
daily_revenue,2026-03-09T08:55:31.640123+00:00,3.068,1,0
category_revenue,2026-03-09T08:55:34.104658+00:00,2.464,1,0
analytics_user_ltv,2026-03-09T08:55:37.571620+00:00,3.466,1,0
daily_revenue,2026-03-09T08:57:31.599593+00:00,3.051,1,0
category_revenue,2026-03-09T08:57:34.078557+00:00,2.478,1,0
analytics_user_ltv,2026-03-09T08:57:37.612465+00:00,3.533,1,0
daily_revenue,2026-03-09T08:59:31.630493+00:00,3.06,1,0
category_revenue,2026-03-09T08:59:34.166049+00:00,2.535,1,0
analytics_user_ltv,2026-03-09T08:59:37.614652+00:00,3.448,1,0
daily_revenue,2026-03-09T09:01:31.677742+00:00,3.062,1,0
category_revenue,2026-03-09T09:01:34.137413+00:00,2.459,1,0
analytics_user_ltv,2026-03-09T09:01:37.682993+00:00,3.545,1,0
daily_revenue,2026-03-09T09:03:31.693746+00:00,3.09,1,0
category_revenue,2026-03-09T09:03:34.252543+00:00,2.557,1,0
analytics_user_ltv,2026-03-09T09:03:37.981334+00:00,3.728,1,0
daily_revenue,2026-03-09T09:05:31.672569+00:00,3.098,1,0
category_revenue,2026-03-09T09:05:34.182338+00:00,2.509,1,0
analytics_user_ltv,2026-03-09T09:05:37.768243+00:00,3.585,1,0
daily_revenue,2026-03-09T09:07:31.636712+00:00,3.055,1,0
category_revenue,2026-03-09T09:07:34.110684+00:00,2.473,1,0
analytics_user_ltv,2026-03-09T09:07:37.570876+00:00,3.459,1,0
daily_revenue,2026-03-09T09:09:31.634191+00:00,3.133,1,0
category_revenue,2026-03-09T09:09:34.260223+00:00,2.625,1,0
analytics_user_ltv,2026-03-09T09:09:38.155746+00:00,3.895,1,0
daily_revenue,2026-03-09T09:11:31.720445+00:00,3.068,1,0
category_revenue,2026-03-09T09:11:34.238116+00:00,2.517,1,0
analytics_user_ltv,2026-03-09T09:11:37.840929+00:00,3.602,1,0
daily_revenue,2026-03-09T09:13:31.597407+00:00,3.028,1,0
category_revenue,2026-03-09T09:13:34.096185+00:00,2.498,1,0
analytics_user_ltv,2026-03-09T09:13:37.595440+00:00,3.498,1,0
daily_revenue,2026-03-09T09:15:31.653490+00:00,3.072,1,0
category_revenue,2026-03-09T09:15:34.126812+00:00,2.473,1,0
analytics_user_ltv,2026-03-09T09:15:38.110917+00:00,3.983,1,0
daily_revenue,2026-03-09T09:17:31.665723+00:00,3.095,1,0
category_revenue,2026-03-09T09:17:34.184711+00:00,2.518,1,0
analytics_user_ltv,2026-03-09T09:17:37.714817+00:00,3.529,1,0
daily_revenue,2026-03-09T09:19:31.657755+00:00,3.096,1,0
category_revenue,2026-03-09T09:19:34.160690+00:00,2.502,1,0
analytics_user_ltv,2026-03-09T09:19:37.816229+00:00,3.655,1,0
daily_revenue,2026-03-09T09:21:31.731427+00:00,3.081,1,0
category_revenue,2026-03-09T09:21:34.207079+00:00,2.475,1,0
analytics_user_ltv,2026-03-09T09:21:37.783893+00:00,3.576,1,0
daily_revenue,2026-03-09T09:23:31.709866+00:00,3.101,1,0
category_revenue,2026-03-09T09:23:34.209051+00:00,2.498,1,0
analytics_user_ltv,2026-03-09T09:23:37.928861+00:00,3.719,1,0
daily_revenue,2026-03-09T09:25:31.852274+00:00,3.267,1,0
category_revenue,2026-03-09T09:25:34.391438+00:00,2.538,1,0
analytics_user_ltv,2026-03-09T09:25:38.125469+00:00,3.734,1,0
daily_revenue,2026-03-09T09:27:31.878733+00:00,3.309,1,0
category_revenue,2026-03-09T09:27:34.375997+00:00,2.496,1,0
analytics_user_ltv,2026-03-09T09:27:37.906234+00:00,3.53,1,0
daily_revenue,2026-03-09T09:29:31.609114+00:00,3.03,1,0
category_revenue,2026-03-09T09:29:34.206255+00:00,2.596,1,0
analytics_user_ltv,2026-03-09T09:29:37.764592+00:00,3.558,1,0
daily_revenue,2026-03-09T09:31:31.747832+00:00,3.141,1,0
category_revenue,2026-03-09T09:31:34.314121+00:00,2.565,1,0
analytics_user_ltv,2026-03-09T09:31:37.988742+00:00,3.674,1,0
daily_revenue,2026-03-09T09:33:31.840539+00:00,3.271,1,0
category_revenue,2026-03-09T09:33:34.433251+00:00,2.592,1,0
analytics_user_ltv,2026-03-09T09:33:38.090003+00:00,3.656,1,0
daily_revenue,2026-03-09T09:35:31.688352+00:00,3.098,1,0
category_revenue,2026-03-09T09:35:34.201797+00:00,2.513,1,0
analytics_user_ltv,2026-03-09T09:35:37.938455+00:00,3.736,1,0
daily_revenue,2026-03-09T09:37:31.735223+00:00,3.149,1,0
category_revenue,2026-03-09T09:37:34.246349+00:00,2.51,1,0
analytics_user_ltv,2026-03-09T09:37:37.737576+00:00,3.491,1,0
daily_revenue,2026-03-09T09:39:31.630883+00:00,3.068,1,0
category_revenue,2026-03-09T09:39:34.391927+00:00,2.759,1,0
analytics_user_ltv,2026-03-09T09:39:37.936550+00:00,3.544,1,0
daily_revenue,2026-03-09T09:41:31.817505+00:00,3.154,1,0
category_revenue,2026-03-09T09:41:34.328504+00:00,2.509,1,0
analytics_user_ltv,2026-03-09T09:41:38.088299+00:00,3.759,1,0
daily_revenue,2026-03-09T09:43:31.817660+00:00,3.15,1,0
category_revenue,2026-03-09T09:43:34.333319+00:00,2.514,1,0
analytics_user_ltv,2026-03-09T09:43:37.939273+00:00,3.606,1,0
daily_revenue,2026-03-09T09:45:31.722386+00:00,3.136,1,0
category_revenue,2026-03-09T09:45:34.243173+00:00,2.519,1,0
analytics_user_ltv,2026-03-09T09:45:37.897327+00:00,3.654,1,0
daily_revenue,2026-03-09T09:47:31.731045+00:00,3.115,1,0
category_revenue,2026-03-09T09:47:34.275386+00:00,2.543,1,0
analytics_user_ltv,2026-03-09T09:47:37.811338+00:00,3.535,1,0
daily_revenue,2026-03-09T09:49:31.622579+00:00,3.027,1,0
category_revenue,2026-03-09T09:49:34.137201+00:00,2.514,1,0
analytics_user_ltv,2026-03-09T09:49:37.642433+00:00,3.505,1,0
daily_revenue,2026-03-09T09:51:31.777025+00:00,3.121,1,0
category_revenue,2026-03-09T09:51:34.311467+00:00,2.533,1,0
analytics_user_ltv,2026-03-09T09:51:38.208883+00:00,3.897,1,0
daily_revenue,2026-03-09T09:53:31.750321+00:00,3.136,1,0
category_revenue,2026-03-09T09:53:34.249544+00:00,2.498,1,0
analytics_user_ltv,2026-03-09T09:53:37.797746+00:00,3.547,1,0
daily_revenue,2026-03-09T09:55:32.133119+00:00,3.466,1,0
category_revenue,2026-03-09T09:55:34.670870+00:00,2.536,1,0
analytics_user_ltv,2026-03-09T09:55:38.409631+00:00,3.738,1,0
daily_revenue,2026-03-09T09:57:31.986525+00:00,3.411,1,0
category_revenue,2026-03-09T09:57:34.549262+00:00,2.56,1,0
analytics_user_ltv,2026-03-09T09:57:38.313438+00:00,3.764,1,0
daily_revenue,2026-03-09T09:59:31.709793+00:00,3.137,1,0
category_revenue,2026-03-09T09:59:34.573970+00:00,2.863,1,0
analytics_user_ltv,2026-03-09T09:59:38.488914+00:00,3.915,1,0
daily_revenue,2026-03-09T10:01:31.785706+00:00,3.101,1,0
category_revenue,2026-03-09T10:01:34.423253+00:00,2.636,1,0
analytics_user_ltv,2026-03-09T10:01:38.115172+00:00,3.691,1,0
daily_revenue,2026-03-09T10:03:31.714239+00:00,3.092,1,0
category_revenue,2026-03-09T10:03:34.512521+00:00,2.797,1,0
analytics_user_ltv,2026-03-09T10:03:38.214619+00:00,3.701,1,0
daily_revenue,2026-03-09T10:05:31.760198+00:00,3.199,1,0
category_revenue,2026-03-09T10:05:34.310133+00:00,2.549,1,0
analytics_user_ltv,2026-03-09T10:05:37.913702+00:00,3.603,1,0
daily_revenue,2026-03-09T10:07:31.800596+00:00,3.178,1,0
category_revenue,2026-03-09T10:07:34.345486+00:00,2.543,1,0
analytics_user_ltv,2026-03-09T10:07:37.973046+00:00,3.627,1,0
daily_revenue,2026-03-09T10:09:31.695239+00:00,3.108,1,0
category_revenue,2026-03-09T10:09:34.199764+00:00,2.503,1,0
analytics_user_ltv,2026-03-09T10:09:37.782385+00:00,3.582,1,0
daily_revenue,2026-03-09T10:11:31.851439+00:00,3.193,1,0
category_revenue,2026-03-09T10:11:34.338540+00:00,2.485,1,0
analytics_user_ltv,2026-03-09T10:11:38.008157+00:00,3.669,1,0
daily_revenue,2026-03-09T10:13:32.080911+00:00,3.446,1,0
category_revenue,2026-03-09T10:13:34.676038+00:00,2.593,1,0
analytics_user_ltv,2026-03-09T10:13:38.281727+00:00,3.605,1,0
daily_revenue,2026-03-09T10:15:31.804307+00:00,3.175,1,0
category_revenue,2026-03-09T10:15:34.288718+00:00,2.483,1,0
analytics_user_ltv,2026-03-09T10:15:37.976341+00:00,3.687,1,0
daily_revenue,2026-03-09T10:17:31.992331+00:00,3.405,1,0
category_revenue,2026-03-09T10:17:34.999766+00:00,3.006,1,0
analytics_user_ltv,2026-03-09T10:17:38.670694+00:00,3.67,1,0
daily_revenue,2026-03-09T10:19:31.861477+00:00,3.239,1,0
category_revenue,2026-03-09T10:19:34.332309+00:00,2.47,1,0
analytics_user_ltv,2026-03-09T10:19:37.829682+00:00,3.497,1,0
daily_revenue,2026-03-09T10:21:31.778910+00:00,3.12,1,0
category_revenue,2026-03-09T10:21:34.292973+00:00,2.513,1,0
analytics_user_ltv,2026-03-09T10:21:37.902615+00:00,3.609,1,0
daily_revenue,2026-03-09T10:23:31.904948+00:00,3.235,1,0
category_revenue,2026-03-09T10:23:34.446947+00:00,2.54,1,0
analytics_user_ltv,2026-03-09T10:23:37.991189+00:00,3.544,1,0
daily_revenue,2026-03-09T10:25:31.753338+00:00,3.166,1,0
category_revenue,2026-03-09T10:25:34.238385+00:00,2.484,1,0
analytics_user_ltv,2026-03-09T10:25:37.958146+00:00,3.719,1,0
daily_revenue,2026-03-09T10:27:31.873635+00:00,3.192,1,0
category_revenue,2026-03-09T10:27:34.442526+00:00,2.567,1,0
analytics_user_ltv,2026-03-09T10:27:38.136268+00:00,3.693,1,0
daily_revenue,2026-03-09T10:29:31.820329+00:00,3.184,1,0
category_revenue,2026-03-09T10:29:34.318917+00:00,2.497,1,0
analytics_user_ltv,2026-03-09T10:29:37.948787+00:00,3.629,1,0
daily_revenue,2026-03-09T10:31:32.427490+00:00,3.708,1,0
category_revenue,2026-03-09T10:31:35.002656+00:00,2.574,1,0
analytics_user_ltv,2026-03-09T10:31:39.290989+00:00,4.288,1,0
daily_revenue,2026-03-09T10:33:32.125310+00:00,3.455,1,0
category_revenue,2026-03-09T10:33:34.655527+00:00,2.528,1,0
analytics_user_ltv,2026-03-09T10:33:38.488308+00:00,3.832,1,0
daily_revenue,2026-03-09T10:35:31.842711+00:00,3.225,1,0
category_revenue,2026-03-09T10:35:34.365886+00:00,2.521,1,0
analytics_user_ltv,2026-03-09T10:35:38.945730+00:00,4.579,1,0
daily_revenue,2026-03-09T10:37:32.016559+00:00,3.378,1,0
category_revenue,2026-03-09T10:37:34.568853+00:00,2.55,1,0
analytics_user_ltv,2026-03-09T10:37:38.331425+00:00,3.762,1,0
daily_revenue,2026-03-09T10:39:31.806431+00:00,3.186,1,0
category_revenue,2026-03-09T10:39:34.293980+00:00,2.486,1,0
analytics_user_ltv,2026-03-09T10:39:37.890312+00:00,3.596,1,0
daily_revenue,2026-03-09T10:41:31.918101+00:00,3.26,1,0
category_revenue,2026-03-09T10:41:34.453731+00:00,2.533,1,0
analytics_user_ltv,2026-03-09T10:41:38.093747+00:00,3.639,1,0
daily_revenue,2026-03-09T11:20:28.211605+00:00,3.225,1,0
category_revenue,2026-03-09T11:20:30.777479+00:00,2.564,1,0
analytics_user_ltv,2026-03-09T11:20:34.367003+00:00,3.589,1,0
daily_revenue,2026-03-09T11:21:31.687156+00:00,3.113,1,0
category_revenue,2026-03-09T11:21:34.134579+00:00,2.447,1,0
analytics_user_ltv,2026-03-09T11:21:37.592197+00:00,3.457,1,0
daily_revenue,2026-03-09T11:23:31.715609+00:00,3.108,1,0
category_revenue,2026-03-09T11:23:34.246316+00:00,2.53,1,0
analytics_user_ltv,2026-03-09T11:23:37.911534+00:00,3.665,1,0
daily_revenue,2026-03-09T11:25:31.727346+00:00,3.065,1,0
category_revenue,2026-03-09T11:25:34.214705+00:00,2.485,1,0
analytics_user_ltv,2026-03-09T11:25:37.840829+00:00,3.625,1,0
daily_revenue,2026-03-09T11:27:31.803357+00:00,3.162,1,0
category_revenue,2026-03-09T11:27:34.314897+00:00,2.511,1,0
analytics_user_ltv,2026-03-09T11:27:37.906438+00:00,3.591,1,0
daily_revenue,2026-03-09T11:29:31.859916+00:00,3.212,1,0
category_revenue,2026-03-09T11:29:34.408440+00:00,2.547,1,0
analytics_user_ltv,2026-03-09T11:29:38.232894+00:00,3.824,1,0
daily_revenue,2026-03-11T02:48:58.864585+00:00,5.206,1,0
category_revenue,2026-03-11T02:49:01.461931+00:00,2.596,1,0
analytics_user_ltv,2026-03-11T02:49:05.306624+00:00,3.844,1,0
